loan_amnt,installment,grade,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,fico_average,term_ 60 months,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
31825,995.82,1,6,75000.0,0,14.03,0,0,12,0,23151,27.4,26,0.0,762.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,242.97,3,3,29120.0,0,22.83,0,1,11,0,16158,63.6,31,0.0,692.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,158.77,1,3,24044.0,0,11.93,0,0,8,0,2224,29.3,16,0.0,702.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7000,245.97,3,8,34000.0,0,6.35,0,1,6,0,6113,60.5,6,0.0,677.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12400,403.91,2,11,41000.0,0,11.8,0,2,9,0,11095,57.2,12,0.0,722.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10800,348.03,2,3,55596.0,0,5.5,0,0,7,0,2535,13.3,18,0.0,707.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15000,469.36,1,2,45000.0,0,8.48,0,0,7,0,6704,50.4,27,0.0,732.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,200.5,2,2,36852.0,0,10.62,0,1,7,0,7310,66.5,12,0.0,697.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12500,282.44,2,2,27000.0,0,16.04,0,3,6,0,10143,50.0,24,0.0,737.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9600,298.67,1,5,68004.0,0,6.63,0,0,6,0,2896,18.1,11,0.0,762.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12000,375.49,1,11,62300.0,0,16.7,0,0,15,0,8601,21.0,25,0.0,727.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3000,108.84,4,10,65000.0,0,17.39,0,0,8,0,43936,98.1,22,0.0,672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4400,156.37,4,11,55000.0,0,20.01,0,0,7,0,25237,99.0,11,0.0,692.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,182.62,1,11,45600.0,0,5.34,0,1,6,0,3378,32.5,28,0.0,792.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14000,451.15,2,7,80000.0,0,10.0,0,1,7,0,2219,13.4,40,0.0,727.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5000,158.77,1,11,100000.0,1,16.33,0,0,17,0,74351,62.1,35,0.0,707.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,325.74,2,7,27000.0,0,11.47,0,0,7,0,7814,52.3,10,0.0,702.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,304.36,1,11,60000.0,0,12.74,0,1,11,0,14019,19.5,18,0.0,792.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11000,337.75,1,6,70000.0,0,10.85,0,0,5,0,11638,36.4,7,0.0,752.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15000,483.38,2,9,80000.0,1,9.12,0,2,9,0,11845,63.7,28,0.0,732.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25600,824.96,2,10,110000.0,0,15.71,0,0,11,0,26088,62.0,27,0.0,727.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7000,228.02,2,1,40000.0,0,7.38,0,0,7,0,12168,92.9,12,0.0,702.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,421.65,3,5,50000.0,1,20.88,0,2,11,0,15793,90.8,11,0.0,677.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,386.7,2,2,46000.0,0,8.11,0,1,11,0,12143,52.1,12,0.0,732.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21000,555.33,5,8,50000.0,1,21.58,0,1,7,0,19448,97.6,14,0.0,682.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16000,423.11,5,8,81000.0,0,20.52,0,3,12,0,27884,75.1,21,0.0,667.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,334.16,2,1,39000.0,0,18.58,0,0,5,0,12874,72.7,10,0.0,687.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,325.74,2,3,51400.0,0,19.14,0,3,10,0,10160,59.1,24,0.0,717.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7100,252.33,4,2,33000.0,0,24.0,0,2,4,0,6021,91.2,8,0.0,682.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13000,293.74,2,1,30000.0,0,13.72,0,0,17,0,17080,58.9,27,0.0,732.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17500,223.74,4,7,40000.0,0,19.47,0,1,5,0,10724,58.9,6,0.0,707.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17675,417.25,3,1,50000.0,0,16.46,0,2,6,0,6661,57.4,14,0.0,722.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8000,284.31,4,1,62000.0,0,21.64,0,3,14,0,6088,66.9,20,0.0,662.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,215.69,2,11,45996.0,1,21.73,0,1,7,0,11170,30.1,15,0.0,757.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3500,114.01,2,8,55000.0,0,5.39,0,1,9,0,6611,45.9,12,0.0,702.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12500,223.11,4,6,30000.0,1,13.16,0,0,7,1,9844,70.8,28,1.0,692.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16425,563.53,3,5,44544.0,0,22.71,0,1,10,0,15747,83.4,18,0.0,697.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8200,223.14,6,5,75000.0,1,12.48,0,3,6,0,9012,73.9,11,0.0,677.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15000,517.42,3,3,61000.0,0,11.88,0,1,8,0,19397,79.5,18,0.0,687.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20975,341.63,4,6,44000.0,0,18.79,0,0,13,1,20657,79.4,21,1.0,687.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6400,227.45,4,6,75000.0,1,20.22,0,0,9,0,7159,67.5,27,0.0,662.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3000,101.8,3,2,33600.0,0,18.11,0,0,4,0,2745,83.2,7,0.0,672.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,426.47,4,4,50000.0,0,20.57,0,1,13,0,11443,97.0,19,0.0,677.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14400,457.25,1,1,150000.0,0,14.85,0,0,12,0,63864,55.0,38,0.0,722.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,413.94,3,11,90000.0,0,16.56,0,2,12,0,17116,78.5,36,0.0,677.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11000,373.24,3,11,48000.0,0,21.82,0,3,15,0,11382,65.0,29,0.0,692.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7250,197.51,6,1,75000.0,0,24.82,0,2,9,1,21706,91.2,19,1.0,682.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15000,469.36,1,2,52000.0,0,9.65,0,1,11,0,1616,6.7,29,0.0,767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18000,475.99,5,11,65000.0,0,6.81,0,0,10,0,11745,77.8,40,0.0,662.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35000,551.84,4,4,150000.0,0,7.51,0,1,11,0,7334,53.3,31,0.0,727.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10000,343.09,3,3,68000.0,0,15.39,0,1,9,0,11303,81.3,15,0.0,682.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11800,395.83,2,7,42000.0,0,9.86,0,0,4,0,8940,74.8,13,0.0,692.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4500,136.96,1,5,53000.0,0,4.44,0,0,7,0,8630,13.9,17,0.0,762.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7000,234.82,2,11,35000.0,0,11.35,0,2,10,0,7649,82.3,26,0.0,682.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9200,307.43,2,3,60000.0,0,19.96,0,3,8,0,23299,78.7,19,0.0,702.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14000,349.98,4,5,28000.0,0,6.34,0,2,5,0,6986,79.4,10,0.0,702.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4500,97.06,2,1,42000.0,0,5.4,0,0,4,0,8220,78.3,9,0.0,752.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,423.61,4,10,88365.0,0,16.85,0,0,6,0,22936,96.4,15,0.0,682.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,407.17,3,5,72000.0,0,21.33,0,1,11,0,3419,27.6,19,0.0,687.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,390.88,2,1,62000.0,0,23.94,0,0,10,0,20310,78.4,51,0.0,702.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7000,228.02,2,4,43680.0,0,5.38,0,0,7,0,6245,78.1,11,0.0,687.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8200,214.62,5,4,120000.0,0,2.8,0,2,5,0,10392,88.4,6,0.0,687.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10500,352.23,2,11,66000.0,0,20.73,1,2,8,0,5790,51.2,26,0.0,697.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7000,231.54,2,5,39120.0,0,21.01,0,0,8,1,9414,52.4,26,0.0,677.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15300,423.1,6,7,85000.0,0,20.58,0,2,14,0,26524,89.7,27,0.0,672.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,282.86,2,5,47800.0,0,10.04,0,0,15,0,16447,46.3,27,0.0,742.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17500,437.47,4,8,45000.0,1,21.31,0,2,13,0,20129,86.1,26,0.0,702.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,106.53,1,11,83000.0,0,2.31,0,0,6,0,3092,13.4,28,0.0,747.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,135.57,2,1,81000.0,0,13.66,1,0,6,0,15102,50.0,17,0.0,697.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6200,199.8,2,3,25000.0,1,20.64,0,2,7,0,6533,47.7,12,0.0,712.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16000,402.65,4,8,65000.0,0,15.56,0,0,8,0,21166,87.1,16,0.0,697.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,190.52,1,9,28800.0,0,13.17,0,0,11,0,5269,36.8,13,0.0,702.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7200,232.02,2,7,135000.0,0,6.12,0,0,7,0,16627,79.6,18,0.0,697.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9500,301.66,1,8,50000.0,0,8.18,0,0,8,0,13422,60.5,13,0.0,722.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18825,465.53,4,11,38000.0,1,23.18,0,0,6,0,11004,79.7,7,0.0,702.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24000,781.76,2,11,45000.0,0,14.8,0,0,5,0,24708,55.2,9,0.0,727.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,203.59,3,11,80000.0,0,11.58,0,0,8,0,15499,83.8,16,0.0,667.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,203.59,3,6,50000.0,0,15.38,0,1,6,0,15191,91.5,7,0.0,692.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2100,70.18,2,11,30000.0,0,19.72,0,1,12,0,12183,82.9,26,0.0,692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5500,168.88,1,9,110000.0,0,9.69,0,0,7,0,14136,21.9,26,0.0,742.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11000,337.75,1,9,45608.0,0,20.5,0,0,7,0,10677,58.7,11,0.0,737.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26800,723.38,6,4,120000.0,0,12.15,0,0,13,0,14772,48.0,18,0.0,682.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8000,268.36,2,6,35000.0,0,10.05,0,0,7,0,6842,97.7,18,0.0,707.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,362.78,4,2,75000.0,1,24.14,0,0,9,0,22828,96.3,26,0.0,667.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8000,264.61,2,10,35000.0,0,9.7,0,0,7,0,6142,46.5,8,0.0,692.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,317.54,1,7,24000.0,0,7.0,0,0,6,0,6734,49.5,21,0.0,712.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,396.92,2,3,126000.0,0,13.32,0,0,17,0,32711,54.1,38,0.0,697.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,312.91,1,2,43000.0,0,25.26,0,0,8,0,8215,37.2,16,0.0,732.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,386.7,2,2,50000.0,0,16.44,0,1,11,0,14335,29.3,25,0.0,727.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000,575.12,3,11,67000.0,1,14.15,0,0,6,0,15319,91.2,21,0.0,742.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19750,643.33,2,5,45000.0,1,22.8,0,0,12,0,16576,54.2,28,0.0,722.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,322.25,2,4,31200.0,0,14.81,0,0,13,0,5540,27.0,19,0.0,712.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13650,456.12,2,5,66000.0,0,24.09,0,0,11,0,8933,56.5,34,0.0,677.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
28000,312.04,5,11,52000.0,1,20.7,0,0,10,0,29178,87.6,16,0.0,687.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18000,563.23,1,11,56964.0,0,27.55,0,0,7,0,17381,76.6,20,0.0,722.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2500,85.78,3,8,49500.0,0,10.33,0,1,7,0,9868,37.7,20,0.0,672.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21000,559.89,5,11,70000.0,0,23.21,0,2,17,0,12508,70.7,25,0.0,672.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,1111.37,1,7,125000.0,0,22.71,0,0,8,0,9051,34.8,32,0.0,742.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,311.11,1,4,33000.0,0,9.75,0,1,9,0,68,0.6,19,0.0,747.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7000,234.82,2,1,30000.0,0,15.8,0,2,7,0,15455,47.6,11,0.0,677.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24000,843.3,3,9,90000.0,1,9.17,0,1,9,0,30952,71.2,23,0.0,717.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10625,330.56,1,6,23000.0,0,18.89,0,1,9,0,7114,43.4,21,0.0,732.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5000,172.48,3,3,24000.0,0,18.3,0,2,5,0,2429,33.3,9,0.0,672.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8850,271.73,1,11,62000.0,0,17.71,0,0,7,0,9466,35.9,19,0.0,737.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6375,198.34,1,5,44000.0,0,4.8,0,0,7,0,6324,58.0,11,0.0,732.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,198.46,2,2,90000.0,0,2.97,1,0,10,0,8489,56.6,23,0.0,682.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11100,340.82,1,11,41000.0,1,29.85,0,1,8,0,17518,62.3,18,0.0,757.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,225.95,2,3,56000.0,0,10.82,0,1,11,0,10081,31.2,18,0.0,737.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6200,188.71,1,6,26500.0,0,18.2,0,0,6,0,2982,16.0,18,0.0,772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15000,547.12,5,2,54000.0,0,19.69,0,2,9,0,15183,90.3,12,0.0,662.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4200,138.92,2,3,53000.0,0,16.91,0,0,15,0,8336,79.7,22,0.0,682.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14000,480.33,3,5,52800.0,0,7.36,0,1,9,0,13378,70.8,14,0.0,682.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8875,276.11,1,2,38000.0,0,23.53,0,1,13,0,19056,62.1,27,0.0,742.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13500,435.04,2,8,38000.0,0,12.38,0,1,3,0,16023,67.3,7,0.0,747.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,386.7,2,3,42000.0,1,7.83,0,2,8,0,9749,65.4,16,0.0,727.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16000,423.11,5,5,55000.0,0,15.8,0,0,8,0,7743,72.4,19,0.0,667.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21600,565.32,5,9,60000.0,0,16.74,1,0,6,0,13354,78.1,21,0.0,677.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,195.44,2,7,87000.0,0,12.86,2,0,12,0,11739,40.5,22,0.0,692.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8450,208.97,4,6,25000.0,0,22.51,0,2,6,0,17614,83.5,21,0.0,692.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20000,460.1,3,2,82000.0,0,17.68,0,0,13,0,26693,61.4,23,0.0,717.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,330.76,2,9,60000.0,1,22.08,0,0,8,0,5626,29.3,26,0.0,697.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,423.61,4,6,80000.0,0,18.18,0,0,8,0,29609,97.2,11,0.0,687.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13475,309.99,3,11,25000.0,1,21.89,0,1,7,0,9943,65.8,14,0.0,732.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
